mode	paramCurves	correct	avgTime	ratio	perImprov	avgFST3	avgFST4
3+1	0.4	1.0	0.0013935510000919	0.8627415753516521	0.1372584246483479	1	0
3+1	0.4	1.0	0.001413672000126	0.8635435409178873	0.1364564590821126	1	0
3+1	0.4	1.0	0.0014226819998839	0.8632582181513881	0.1367417818486118	1	0
3+1	0.4	1.0	0.0014000819996908	0.8666356011145429	0.1333643988854571	1	0
3+1	0.4	1.0	0.0014116310003373	0.8654540645571487	0.1345459354428513	1	0
3+1	0.4	1.0	0.0012737100000776	0.8612650844808113	0.1387349155191887	1	0
3+1	0.4	1.0	0.001491180999892	0.8661796619983092	0.1338203380016908	1	0
3+1	0.4	1.0	0.0014174810003169	0.8620821238503081	0.1379178761496918	1	0
3+1	0.4	1.0	0.0023174509997261	0.8712914891878949	0.1287085108121051	1	0
3+1	0.4	1.0	0.0018962509998345	0.863009599563128	0.136990400436872	1	0
3+1	0.4	1.0	0.0014636400001108	0.8627508728598019	0.1372491271401981	1	0
3+1	0.4	1.0	0.0014078609997341	0.8638313282754194	0.1361686717245805	1	0
3+1	0.4	1.0	0.0012579110002661	0.8627793566027229	0.1372206433972771	1	0
3+1	0.4	1.0	0.0013906909998695	0.8608900426782677	0.1391099573217322	1	0
3+1	0.4	1.0	0.0017153109997707	0.8640557070788439	0.135944292921156	1	0
3+1	0.4	1.0	0.001456681000036	0.8608571695918789	0.1391428304081211	1	0
3+1	0.4	1.0	0.0012597009999808	0.8675136425841956	0.1324863574158044	1	0
3+1	0.4	1.0	0.0014315409998744	0.8615321361689166	0.1384678638310834	1	0
3+1	0.4	1.0	0.0012712210000245	0.8623390101537324	0.1376609898462676	1	0
3+1	0.4	1.0	0.0011894610001945	0.8650782674529919	0.1349217325470081	1	0
3+1	0.4	1.0	0.0014173109998409	0.8635069770514346	0.1364930229485653	1	0
3+1	0.4	1.0	0.0016480209997098	0.8671889111203016	0.1328110888796984	1	0
3+1	0.4	1.0	0.0014527499997711	0.8711481370001911	0.1288518629998088	1	0
3+1	0.4	1.0	0.0016294910001306	0.8712142704971961	0.1287857295028038	1	0
3+1	0.4	1.0	0.0014245719999053	0.863833552172067	0.1361664478279329	1	0
3+1	0.6	1.0	0.0017195119999087	0.8532321749680168	0.1467678250319831	1	0
3+1	0.6	1.0	0.0014360310001393	0.8539738347847592	0.1460261652152408	1	0
3+1	0.6	1.0	0.0014277710001806	0.853036042231276	0.1469639577687239	1	0
3+1	0.6	1.0	0.001449040999887	0.8622749231889167	0.1377250768110832	1	0
3+1	0.6	1.0	0.0014173210001899	0.8523782525803134	0.1476217474196866	1	0
3+1	0.6	1.0	0.0014610309999625	0.8532135860251588	0.1467864139748411	1	0
3+1	0.6	1.0	0.0014349709999805	0.8526682465186348	0.1473317534813651	1	0
3+1	0.6	1.0	0.0013994010000715	0.8525330602125972	0.1474669397874027	1	0
3+1	0.6	1.0	0.0014502410003842	0.8526412486692878	0.1473587513307122	1	0
3+1	0.6	1.0	0.0014620820002164	0.8531943916875112	0.1468056083124888	1	0
3+1	0.6	1.0	0.0014456209996751	0.8529194496057535	0.1470805503942465	1	0
3+1	0.6	1.0	0.0016675810002197	0.8559666501962988	0.1440333498037012	1	0
3+1	0.6	1.0	0.0012728509996122	0.8534351451253476	0.1465648548746524	1	0
3+1	0.6	1.0	0.0014733410002918	0.856592828093152	0.143407171906848	1	0
3+1	0.6	1.0	0.0014113520001046	0.8549401780115407	0.1450598219884593	1	0
3+1	0.6	1.0	0.0014380610000443	0.8543935349789511	0.1456064650210489	1	0
3+1	0.6	1.0	0.0012950719997206	0.8554502299439959	0.1445497700560041	1	0
3+1	0.6	1.0	0.001432152000234	0.8519848524280296	0.1480151475719704	1	0
3+1	0.6	1.0	0.0014057510002203	0.8535455801430976	0.1464544198569024	1	0
3+1	0.6	1.0	0.0014089710002735	0.854325749912543	0.145674250087457	1	0
3+1	0.6	1.0	0.0014292220002971	0.8576140393142988	0.1423859606857012	1	0
3+1	0.6	1.0	0.001426652000191	0.8532587734117949	0.1467412265882051	1	0
3+1	0.6	1.0	0.0018600909997985	0.853656818753595	0.146343181246405	1	0
3+1	0.6	1.0	0.0018023829998128	0.8573665840223121	0.1426334159776878	1	0
3+1	0.6	1.0	0.0017511619998913	0.8536055881234489	0.1463944118765511	1	0
3+1	0.6	1.0	0.0014540820002366	0.8530882454712724	0.1469117545287276	1	0
3+1	0.6	1.0	0.0012705019998975	0.856018660089263	0.143981339910737	1	0
3+1	0.6	1.0	0.0016883110001799	0.852758979567325	0.1472410204326749	1	0
3+1	0.6	1.0	0.0014269220000642	0.8573598357527153	0.1426401642472846	1	0
