mode	numPoints	correct	avgTime	ratio	perImprov	avgFST3	avgFST4
Euclidean	50	1.0	0.0372319380000001	0.9764857513011131	0.0235142486988867	10	2
Euclidean	50	1.0	0.028490675	0.965282632433514	0.0347173675664861	13	2
Euclidean	50	0.9787234042553192	0.0284378149999997	0.9872839413011708	0.012716058698829	10	2
Euclidean	50	0.9574468085106383	0.0236176189999999	0.9842513869096484	0.0157486130903515	9	1
Euclidean	50	1.0	0.0250520120000001	0.970712893137254	0.029287106862746	8	3
Euclidean	50	1.0	0.029959464	0.9833112389250452	0.0166887610749548	12	2
Euclidean	50	0.9782608695652174	0.0317158159999997	0.9697542277262704	0.0302457722737294	14	1
Euclidean	50	1.0	0.0251700419999996	0.9774565912324692	0.0225434087675309	12	1
Euclidean	50	0.9782608695652174	0.0293895439999998	0.9756706763078712	0.0243293236921289	15	0
Euclidean	50	0.9791666666666666	0.0246372219999999	0.9863922788943325	0.0136077211056676	14	1
Euclidean	50	1.0	0.0289214150000001	0.9781520206825756	0.0218479793174245	14	0
Euclidean	50	1.0	0.0303011269999999	0.97114618945258	0.02885381054742	13	2
Euclidean	50	0.9787234042553192	0.0308626699999998	0.9784258799921836	0.0215741200078164	12	2
Euclidean	50	0.9583333333333334	0.0296719949999997	0.9708404450003209	0.0291595549996792	12	2
Euclidean	50	1.0	0.0287154950000001	0.980340392759295	0.019659607240705	12	1
Euclidean	50	1.0	0.0393530449999999	0.9790700510777964	0.0209299489222034	12	1
Euclidean	50	0.9787234042553192	0.030309909	0.9714973771603234	0.0285026228396766	12	1
Euclidean	50	0.9583333333333334	0.0302942349999999	0.9786031969922494	0.0213968030077505	13	3
Euclidean	50	0.9782608695652174	0.0282229840000001	0.9697873426551312	0.0302126573448688	14	1
Euclidean	50	1.0	0.0357398100000003	0.9748134034551804	0.0251865965448196	11	3
Euclidean	50	0.9574468085106383	0.0295813449999995	0.974790112122062	0.025209887877938	13	2
Euclidean	50	1.0	0.0255185220000004	0.9750993274842188	0.024900672515781	11	2
Euclidean	50	0.9787234042553192	0.0285850889999998	0.9760066349892246	0.0239933650107754	10	2
Euclidean	50	1.0	0.0282663740000002	0.9759064483697134	0.0240935516302865	16	1
Euclidean	50	0.9787234042553192	0.028071004	0.9653298754142796	0.0346701245857202	13	2
Euclidean	50	0.9090909090909092	0.027711344	0.971009495141302	0.0289905048586981	9	3
Euclidean	50	0.9791666666666666	0.0309394520000001	0.9743581314029768	0.0256418685970231	11	1
Euclidean	50	1.0	0.0262603329999997	0.9665790228545448	0.0334209771454551	11	3
Euclidean	50	1.0	0.029658565	0.9746887920908937	0.0253112079091064	14	1
Euclidean	50	1.0	0.0386452809999999	0.9761478083891316	0.0238521916108684	13	0
Euclidean	50	0.9302325581395348	0.0276632139999994	0.9780848729898592	0.0219151270101407	12	0
Euclidean	50	1.0	0.0284073730000002	0.9743944257668188	0.0256055742331812	13	1
Euclidean	50	0.9583333333333334	0.0283510149999992	0.9647125351207484	0.0352874648792514	14	2
Euclidean	50	0.9791666666666666	0.0417187000000005	0.9726045644879988	0.0273954355120011	11	1
Euclidean	50	1.0	0.0276610250000004	0.9690022039807568	0.0309977960192432	15	1
Euclidean	50	0.9782608695652174	0.0271664540000005	0.9721939430415272	0.0278060569584729	15	1
Euclidean	50	0.9791666666666666	0.0393868509999997	0.9739962463810324	0.0260037536189674	11	2
Euclidean	50	1.0	0.0284771939999997	0.9798491132550996	0.0201508867449002	12	2
Euclidean	50	0.9787234042553192	0.0257033819999996	0.9766897971451322	0.0233102028548678	13	1
Euclidean	50	1.0	0.0272082330000005	0.976447636380622	0.0235523636193779	12	2
